"Editor_ID";"Name";"Specialization"
101;"Clara Mitchell";"Literature"
102;"Daniel Cho";"Technology"
103;"Amelia Hart";"Environmental Science"
104;"Marcus Stein";"History"
105;"Sophie Nguyen";"Social Sciences"
106;"James O'Malley";"Classics"
107;"Elena Petrova";"Philosophy"
108;"Yuki Nakamura";"Anthropology"
109;"Henry Collins";"Fantasy Fiction"
110;"Nora Hassan";"Political Science"
121;"Lana Rivera";"Entertainment"
122;"Marcus Young";"Entertainment"
123;"Priya Kapoor";"Entertainment"
124;"Helen Grant";"News"
125;"Omar Delgado";"News"
126;"Mei-Ling Zhou";"News"
